711,585,1285,585,1285,711,711,711
1323,585,2236,585,2236,705,1323,705
2293,585,2759,585,2759,699,2293,699
2803,585,3168,585,3168,699,2803,699
2097,737,2532,737,2532,831,2097,831
2551,737,2816,737,2816,825,2551,825
1071,743,1537,743,1537,837,1071,837
1562,743,1688,743,1688,831,1562,831
1713,743,2085,743,2085,837,1713,837
321,957,447,957,447,1026,321,1026
472,957,667,957,667,1026,472,1026
680,957,774,957,774,1020,680,1020
831,957,932,957,932,1020,831,1020
938,957,1178,957,1178,1026,938,1026
1190,957,1285,957,1285,1020,1190,1020
365,1052,1209,1052,1209,1184,365,1184
1675,1304,1959,1304,1959,1373,1675,1373
1399,1308,1627,1316,1624,1384,1396,1376
1631,1323,1663,1323,1663,1367,1631,1367
1398,1386,1776,1386,1776,1505,1398,1505
1398,1562,1518,1562,1518,1631,1398,1631
1575,1562,1757,1562,1757,1625,1575,1625
1776,1562,2041,1562,2041,1631,1776,1631
1518,1568,1568,1568,1568,1619,1518,1619
1404,1644,1908,1644,1908,1757,1404,1757
2350,1800,2622,1808,2620,1880,2348,1872
2671,1801,2910,1801,2910,1864,2671,1864
1890,1808,2041,1808,2041,1877,1890,1877
2053,1808,2123,1808,2123,1877,2053,1877
2135,1808,2280,1808,2280,1871,2135,1871
1404,1814,1631,1814,1631,1896,1404,1896
1650,1814,1827,1814,1827,1877,1650,1877
2532,1896,2633,1896,2633,2003,2532,2003
1396,1907,1990,1891,1993,2010,1399,2026
2356,1902,2438,1902,2438,2003,2356,2003
3154,1943,3495,1935,3497,2028,3156,2035
2639,2053,2967,2053,2967,2123,2639,2123
2041,2060,2129,2060,2129,2129,2041,2129
2356,2060,2589,2060,2589,2135,2356,2135
1404,2072,1537,2072,1537,2142,1404,2142
1549,2072,1644,2072,1644,2142,1549,2142
1701,2072,2028,2072,2028,2135,1701,2135
2356,2148,2841,2148,2841,2268,2356,2268
1404,2154,1997,2154,1997,2274,1404,2274
2356,2293,2576,2293,2576,2362,2356,2362
2627,2293,2923,2293,2923,2368,2627,2368
2066,2299,2217,2299,2217,2368,2066,2368
1547,2312,1845,2302,1847,2376,1550,2385
1896,2305,2053,2305,2053,2368,1896,2368
1404,2312,1530,2312,1530,2381,1404,2381
3090,2361,3270,2382,3259,2475,3079,2454
1404,2394,1990,2394,1990,2513,1404,2513
